num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,240,7,30,52150,23,93,52136,23,93
4,240,8,34,52521,23,93,52504,23,93
4,240,9,38,52891,23,94,52857,23,94
4,256,1,6,39094,16,66,39094,16,66
4,256,2,10,46888,19,79,46886,19,79
4,256,3,14,50212,21,85,50211,21,85
4,256,4,18,52024,22,88,52024,22,88
4,256,5,22,53241,22,90,53240,22,90
4,256,6,26,53930,22,91,53916,22,91
4,256,7,30,54539,23,92,54530,23,92
4,256,8,34,54960,23,93,54952,23,93
4,256,9,38,55444,23,94,55431,23,94
4,272,1,6,43716,16,66,43716,16,66
4,272,2,10,52440,19,79,52440,19,79
4,272,3,14,56206,21,85,56202,21,85
4,272,4,18,58276,22,88,58272,22,88
4,272,5,22,59562,22,90,59550,22,90
4,272,6,26,60429,23,92,60408,23,92
4,272,7,30,61168,23,93,61159,23,93
4,272,8,34,61596,23,93,61584,23,93
4,272,9,38,61952,23,94,61911,23,94
4,288,1,6,47216,16,66,47216,16,66
4,288,2,10,56632,19,79,56630,19,79
4,288,3,14,60673,21,85,60672,21,85
4,288,4,18,62918,22,88,62884,22,88
4,288,5,22,64292,22,90,64285,22,90
4,288,6,26,65246,23,92,65226,23,92
4,288,7,30,65873,23,92,65835,23,92
4,288,8,34,66412,23,93,66392,23,93
4,288,9,38,67022,23,94,66996,23,94
4,304,1,6,55374,16,66,55374,16,66
4,304,2,10,66437,19,79,66436,19,79
4,304,3,14,71186,21,85,71184,21,85
4,304,4,18,73796,22,88,73796,22,88
4,304,5,22,75474,22,90,75470,22,90
4,304,6,26,76629,23,92,76620,23,92
4,304,7,30,77302,23,93,77280,23,93
4,304,8,34,77907,23,93,77880,23,93
4,304,9,38,78547,23,94,78534,23,94
6,24,1,9,1972,10,62,1972,10,62
6,24,2,15,1876,9,59,1872,9,59
6,24,3,21,1197,6,37,1176,6,37
6,24,4,27,7,0,0,0,0,0
6,24,5,33,0,0,0,0,0,0
6,24,6,39,0,0,0,0,0,0
6,24,7,45,0,0,0,0,0,0
6,24,8,51,0,0,0,0,0,0
6,24,9,57,0,0,0,0,0,0
6,48,1,9,4688,10,65,4688,10,65
6,48,2,15,5144,12,72,5120,11,71
6,48,3,21,4989,11,70,4986,11,69
6,48,4,27,4123,9,57,4100,9,57
6,48,5,33,3269,7,45,3250,7,45
6,48,6,39,2316,5,32,2244,5,31
6,48,7,45,1178,2,16,616,1,8
6,48,8,51,218,0,3,0,0,0
6,48,9,57,0,0,0,0,0,0
6,72,1,9,6757,11,66,6757,11,66
6,72,2,15,8078,13,79,8070,13,79
6,72,3,21,8608,14,84,8604,14,84
6,72,4,27,8750,14,85,8724,14,85
6,72,5,33,8712,14,85,8680,14,85
6,72,6,39,8125,13,79,8058,13,79
6,72,7,45,7359,12,72,7315,11,71
6,72,8,51,6277,10,61,6168,10,60
6,72,9,57,4880,7,47,4698,7,46
6,96,1,9,8534,11,66,8534,11,66
6,96,2,15,10194,13,79,10192,13,79
6,96,3,21,10933,14,85,10929,14,85
6,96,4,27,11236,14,87,11224,14,87
6,96,5,33,11167,14,87,11150,14,87
6,96,6,39,10932,14,85,10926,14,85
6,96,7,45,10323,13,80,10297,13,80
6,96,8,51,9884,12,77,9856,12,76
6,96,9,57,8879,11,69,8802,11,68
6,120,1,9,14748,11,66,14748,11,66
6,120,2,15,17643,13,79,17638,13,79
6,120,3,21,18825,14,84,18825,14,84
6,120,4,27,18981,14,85,18972,14,85
6,120,5,33,18564,13,83,18550,13,83
6,120,6,39,17717,13,79,17706,13,79
6,120,7,45,16977,12,76,16891,12,76
6,120,8,51,16594,12,74,16552,12,74
6,120,9,57,15570,11,70,15399,11,69
6,144,1,9,14728,11,66,14728,11,66
6,144,2,15,17664,13,79,17664,13,79
6,144,3,21,18904,14,85,18876,14,85
6,144,4,27,19422,14,87,19408,14,87
6,144,5,33,19506,14,88,19495,14,88
6,144,6,39,19440,14,87,19380,14,87
6,144,7,45,19078,14,86,19068,14,86
6,144,8,51,18308,13,82,18240,13,82
6,144,9,57,17794,13,80,17730,13,80
6,168,1,9,18263,11,66,18263,11,66
6,168,2,15,21907,13,79,21902,13,79
6,168,3,21,23474,14,85,23472,14,85
6,168,4,27,24294,14,88,24292,14,88
6,168,5,33,24786,15,90,24780,15,90
6,168,6,39,25103,15,91,25050,15,91
6,168,7,45,25137,15,91,25116,15,91
6,168,8,51,24789,15,90,24704,15,90
6,168,9,57,24171,14,88,24138,14,88
6,192,1,9,19283,11,66,19283,11,66
6,192,2,15,23130,13,79,23130,13,79
6,192,3,21,24764,14,85,24762,14,85
6,192,4,27,25603,14,88,25596,14,88
6,192,5,33,26120,15,90,26120,15,90
6,192,6,39,26494,15,91,26472,15,91
6,192,7,45,26263,15,90,26229,15,90
6,192,8,51,26514,15,91,26488,15,91
